                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8854,                 2.3858,                 1.5622,                0.61279,                0.46399,                0.46992,                0.26067,                 1.5019,                 1.0991,                 1.4682,               0.070484,              0.0032796,              0.0032796
                      1,                 1.3578,                 1.0061,                 1.1385,                0.49252,                0.56243,                0.49609,                0.28779,                 1.4983,                0.87074,                 1.4408,               0.040222,               0.006351,               0.006351
                      2,                 1.3409,                0.92499,                 1.0872,                0.48628,                0.43698,                0.45818,                0.25792,                 1.4636,                 0.9181,                 1.3967,              0.0096961,              0.0091585,              0.0091585
                      3,                 1.3309,                0.86816,                 1.0857,                0.53544,                0.48624,                0.48407,                0.24271,                  1.597,                 0.9631,                 1.4224,               0.008812,               0.008812,               0.008812
                      4,                 1.3282,                0.82004,                 1.0888,                0.50228,                 0.4524,                0.49394,                0.26421,                 1.4766,                 1.0013,                   1.43,               0.008812,               0.008812,               0.008812
                      5,                 1.2965,                0.79493,                 1.0906,                0.52646,                0.65267,                0.53527,                0.30827,                 1.4443,                0.93961,                 1.4022,               0.008416,               0.008416,               0.008416
                      6,                  1.295,                0.76448,                 1.0852,                0.54343,                0.62706,                0.53262,                0.30324,                 1.4782,                0.88128,                 1.4356,                0.00802,                0.00802,                0.00802
                      7,                 1.2667,                0.74154,                 1.0836,                0.58408,                0.62631,                0.53191,                0.30782,                 1.4643,                0.77327,                  1.386,               0.007624,               0.007624,               0.007624
                      8,                 1.2555,                0.71085,                 1.0522,                0.61576,                0.59481,                0.57987,                0.34105,                 1.4519,                 0.7567,                 1.3803,               0.007228,               0.007228,               0.007228
                      9,                 1.2264,                0.70162,                  1.062,                 0.5366,                0.60072,                0.56065,                0.31254,                 1.4856,                0.77977,                 1.4164,               0.006832,               0.006832,               0.006832
                     10,                  1.207,                0.67952,                 1.0545,                0.57229,                0.67781,                0.54818,                0.32527,                 1.4298,                 0.8009,                 1.4232,               0.006436,               0.006436,               0.006436
                     11,                 1.2052,                0.66619,                 1.0467,                0.65044,                0.57321,                0.57792,                0.34454,                 1.4712,                0.75401,                  1.444,                0.00604,                0.00604,                0.00604
                     12,                 1.1968,                0.66492,                 1.0475,                0.58404,                0.60682,                0.54964,                0.32975,                 1.4057,                0.74613,                 1.3951,               0.005644,               0.005644,               0.005644
                     13,                 1.1647,                0.63799,                 1.0396,                0.64148,                0.55113,                0.54414,                0.32569,                 1.3659,                0.75874,                 1.3174,               0.005248,               0.005248,               0.005248
                     14,                 1.1826,                0.65047,                 1.0377,                0.56142,                0.58602,                0.54878,                0.32854,                 1.3972,                0.74664,                 1.3946,               0.004852,               0.004852,               0.004852
                     15,                 1.1316,                0.60045,                 1.0617,                0.50206,                0.65011,                0.54532,                0.32872,                 1.3779,                0.76303,                 1.3504,               0.004456,               0.004456,               0.004456
                     16,                 1.1237,                 0.6029,                 1.0405,                0.54581,                0.64668,                0.54256,                0.32206,                 1.3916,                0.78132,                 1.3296,                0.00406,                0.00406,                0.00406
                     17,                 1.1241,                0.56732,                 1.0382,                0.56695,                0.61219,                0.53244,                0.31703,                 1.4381,                0.73857,                 1.4531,               0.003664,               0.003664,               0.003664
                     18,                 1.1042,                0.55778,                 1.0445,                0.52594,                0.61625,                 0.5392,                 0.3201,                  1.373,                0.72897,                 1.3716,               0.003268,               0.003268,               0.003268
                     19,                 1.1005,                0.54668,                 1.0339,                0.52099,                0.66081,                0.55614,                0.33773,                 1.3693,                0.72103,                 1.3317,               0.002872,               0.002872,               0.002872
                     20,                 1.0709,                 0.5246,                  1.032,                0.61122,                0.57239,                0.55885,                0.32995,                 1.4072,                 0.7475,                 1.3717,               0.002476,               0.002476,               0.002476
                     21,                 1.0453,                0.50766,                 1.0098,                0.61624,                0.58812,                0.56833,                0.34869,                 1.4131,                0.69909,                 1.4521,                0.00208,                0.00208,                0.00208
                     22,                 1.0244,                0.49351,                 1.0066,                0.60198,                0.66317,                0.58232,                0.35866,                 1.3732,                0.70564,                 1.3897,               0.001684,               0.001684,               0.001684
                     23,                 1.0041,                0.47994,                 0.9946,                0.58384,                0.65587,                0.57698,                0.35287,                 1.3866,                0.71293,                 1.4008,               0.001288,               0.001288,               0.001288
                     24,                 1.0008,                0.46472,                0.99393,                0.62466,                0.58848,                0.57967,                0.36159,                 1.3785,                0.68988,                 1.3782,               0.000892,               0.000892,               0.000892
